,ZCTA5CE10,GEOID10,INTPTLAT10,INTPTLON10
143,04609,04609,+44.3974700,-068.2638076
144,04611,04611,+44.4669574,-067.6125965
145,04612,04612,+44.2315304,-068.4145143
146,04613,04613,+44.3719295,-068.0272881
147,04614,04614,+44.4021795,-068.5692970
148,04616,04616,+44.2613244,-068.5403549
149,04617,04617,+44.3516268,-068.7609903
150,04918,04918,+44.5157303,-069.8662321
151,04920,04920,+45.1423407,-069.8544583
152,04921,04921,+44.5608939,-069.1365476
153,04922,04922,+44.6885452,-069.3848133
154,04923,04923,+45.0290092,-069.4457456
155,04924,04924,+44.7822411,-069.5463148
156,04619,04619,+45.1503269,-067.2391888
157,04622,04622,+44.7506602,-067.9669517
158,04623,04623,+44.7444670,-067.7336578
159,04624,04624,+44.4239506,-067.9858759
160,04625,04625,+44.2597930,-068.2617113
161,04626,04626,+44.6655688,-067.2193584
162,04627,04627,+44.2370098,-068.6078455
163,04628,04628,+44.8731132,-067.2810781
164,04629,04629,+44.4218847,-068.5065973
165,04630,04630,+44.8550658,-067.4779131
166,04631,04631,+44.9109583,-067.0089131
167,04634,04634,+44.6509041,-068.2220365
168,04925,04925,+45.2123724,-069.9033965
169,04926,04926,+44.4801218,-069.5139078
170,04927,04927,+44.6597876,-069.5316750
171,04928,04928,+44.9436934,-069.2582170
172,04929,04929,+44.7721094,-069.3021755
173,04930,04930,+45.0275716,-069.3179702
174,04932,04932,+44.6975701,-069.1437023
175,04933,04933,+44.8164948,-069.2313480
176,04936,04936,+45.4219461,-070.6244256
177,04937,04937,+44.6516533,-069.6612755
178,04635,04635,+44.1722340,-068.3514824
179,04637,04637,+45.1962525,-067.8160295
180,04640,04640,+44.5241747,-068.2859165
181,04642,04642,+44.3305843,-068.8099473
182,04643,04643,+44.5380266,-067.8185383
183,04644,04644,+44.4138353,-068.2520762
184,04645,04645,+44.0646635,-068.6209850
185,04646,04646,+44.2455663,-068.2249538
186,04648,04648,+44.6654248,-067.5963303
187,04649,04649,+44.5471095,-067.4898298
188,04650,04650,+44.2876357,-068.7137633
189,04652,04652,+44.8197135,-067.0623282
190,04653,04653,+44.2094665,-068.3346479
191,04654,04654,+44.7571530,-067.5398940
192,04655,04655,+44.6530052,-067.3775508
193,04657,04657,+44.9703088,-067.4157730
194,04658,04658,+44.5079099,-067.8780040
195,04660,04660,+44.3382758,-068.3461041
196,04662,04662,+44.3009593,-068.2924523
197,04664,04664,+44.5433354,-068.1273533
198,04666,04666,+44.9805836,-067.2236723
199,04667,04667,+44.9853160,-067.1035623
200,04668,04668,+45.2129264,-067.5859661
201,04669,04669,+44.4086772,-068.0156413
202,04938,04938,+44.6618560,-070.1031041
203,04939,04939,+45.0772584,-069.1587713
204,04940,04940,+44.6239944,-070.0832926
205,04941,04941,+44.4671900,-069.2856617
206,04671,04671,+45.0673749,-067.1521721
207,04673,04673,+44.3143521,-068.6791441
208,04674,04674,+44.2742544,-068.4588285
209,04675,04675,+44.3013468,-068.2511483
210,04676,04676,+44.3468802,-068.6343652
211,04677,04677,+44.4768220,-068.1815060
212,04679,04679,+44.2730049,-068.3251595
213,04680,04680,+44.5014824,-067.9464570
214,04681,04681,+44.1504635,-068.6453275
215,04683,04683,+44.2452052,-068.7878269
216,04684,04684,+44.4673614,-068.5031900
217,04685,04685,+44.1516866,-068.4652120
